created_at,tweet_id,tweet_text,screen_name,name,account_creation_date,urls
2021-10-03 05:06:32+00:00,1444529276104200192,RT @mchooyah: I just ordered an ice water at breakfast. It came with a paper straw in a plastic cup. I might order a side of irony.,PamT817716,🚂🇺🇸🇮🇱🇵🇱PamT🙏✝️🕯,Sun Sep 03 00:16:08 +0000 2017,[]
2021-10-03 05:03:48+00:00,1444528588385030144,So my younger brother who is 21 tried to argue with me about turning off the lights in my house. Mind you I pay for… https://t.co/mocLCdudVt,stormshadow5940,stormshadow5940,Fri Oct 13 04:06:31 +0000 2017,"[{'url': 'https://t.co/mocLCdudVt', 'expanded_url': 'https://twitter.com/i/web/status/1444528588385030144', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-10-03 05:01:13+00:00,1444527939760967682,RT @jamesvgingerich: 5 Amazing Innovations to Trap Plastic Trash Before it Reaches the Ocean.  (World Economic Forum) #Environment #Technol…,Sauradeep4,Morticon,Sat Jul 06 07:28:32 +0000 2019,[]
2021-10-03 05:00:55+00:00,1444527863592538113,@HlLlCHURLED Spits out her mouthful and takes the treat to a trash can. She needs water to get the taste off her tongue!,HornyBenevolent,~ Cicin!Rosaria ~,Thu Jul 29 01:25:16 +0000 2021,[]
2021-10-03 05:00:53+00:00,1444527856588148739,@Skweezy everybody on here hating on nfts for environmental reasons but half of y’all still drink out of plastic wa… https://t.co/rqSJHRvfcQ,ChoseUp_,type shit 1of1,Sun Sep 08 00:37:46 +0000 2019,"[{'url': 'https://t.co/rqSJHRvfcQ', 'expanded_url': 'https://twitter.com/i/web/status/1444527856588148739', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-10-03 04:58:26+00:00,1444527239090122754,"RT @suicideLEOPARD: 9:00 AM - 2 pigeon eggs and 3 slices of squirrel bacon

12:00 PM - 1 roll of duck tape washed down with 2 glasses of po…",swarmofeels,eurotrash gingerdust,Tue May 17 20:32:29 +0000 2016,[]
2021-10-03 04:58:03+00:00,1444527142415450114,"RT @pmdphawaii: Another one for the books! After 30 days at sea, our PMDP/NOAA team returned home with 123,690 lbs of marine debris, remove…",McCauley_Lab,Douglas McCauley,Fri Jul 18 05:04:04 +0000 2014,[]
2021-10-03 04:54:25+00:00,1444526230108213253,"Need hobbies, anti-vaxxers, while you’re at home waiting for the rest of society to catch up with you? Look into Ye… https://t.co/B0iRmZDnFo",Hilksom,"Ashley Bristowe, feminista authorista",Fri Apr 04 20:56:41 +0000 2008,"[{'url': 'https://t.co/B0iRmZDnFo', 'expanded_url': 'https://twitter.com/i/web/status/1444526230108213253', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-10-03 04:54:13+00:00,1444526176513380358,"RT @urstrulyMahesh: Save water, recycle, manage waste, use renewable energy, reduce plastic usage. Choose one to start!! While we protect o…",iampokirifan,S a ռ ʝ ʊ ™ 🔔,Fri Jul 29 06:24:59 +0000 2016,[]
2021-10-03 04:52:40+00:00,1444525786141052936,RT @prabinkhaling: Plastic water bottle will be band from January 1st 2022 in Sikkim. This is an important announcement of Sikkim Governmen…,dpak_chetri,deepakchhetri,Thu Feb 05 17:06:14 +0000 2015,[]
2021-10-03 04:47:04+00:00,1444524377517662210,RT @mchooyah: I just ordered an ice water at breakfast. It came with a paper straw in a plastic cup. I might order a side of irony.,HYPROCRITESSUCK,LEFTisAlwaysRightNOT,Sun Jul 31 16:15:08 +0000 2011,[]
2021-10-03 04:46:27+00:00,1444524221518974978,This nigga threw 30 passes to fucking air and the defense couldn’t contain some bitch ass QB running for his life. Fucking trash,Jean_the_Marine,Jean 🇭🇹,Tue Mar 15 17:25:29 +0000 2011,[]
